"County","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19"
"Adams",,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
"Allegheny",0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,4,6,10,12,18,19,19,21,24,26,38,43,47,50
"Armstrong",,,,,,0,0,0,0,0,0,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2
"Beaver",0,0,,0,0,0,0,0,0,0,0,,1,2,2,2,6,6,6,9,13,13,13,13,13,13,14,14,14,15,31,32
"Bedford",,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
"Berks",0,0,,0,0,0,0,0,0,0,0,,,,1,1,2,3,3,4,7,8,12,19,20,21,27,28,31,34,40,65
"Blair",,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Bradford",,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1
"Bucks",0,0,,0,0,0,0,0,0,0,1,4,3,6,6,8,11,13,17,21,22,23,26,29,32,36,40,51,56,64,75,84
"Butler",,,,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,5,5,5,5,5
"Cambria",,,,,0,0,0,0,0,0,0,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cameron",,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0
"Carbon",,,,,,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,6,6,7,8,8
"Centre",,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1,1
"Chester",0,0,,0,0,0,0,0,0,0,0,,1,1,2,2,2,2,3,6,6,7,9,15,17,17,20,25,28,30,36,42
"Clarion",,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,1,1
"Clearfield",,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Clinton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Columbia",,,,0,0,0,0,0,0,0,0,,,,,,,,,1,1,2,2,2,3,3,3,3,3,3,4,6
"Crawford",,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Cumberland",0,0,,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4
"Dauphin",,,,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,2,2,2,3,4,4,5,5,7,7,9,9
"Delaware",0,0,,0,0,0,1,1,3,4,4,4,5,7,8,10,13,14,15,20,23,26,30,39,39,40,45,59,69,73,77,90
"Elk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Erie",,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Fayette",,,,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3
"Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Franklin",,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Fulton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Greene",,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Huntingdon",,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0
"Indiana",,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,1,2,3,4,4
"Jefferson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Juniata",,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Lackawanna",0,0,,0,1,1,2,2,2,2,2,2,3,3,3,4,6,6,7,8,10,16,18,20,20,21,24,26,28,30,35,41
"Lancaster",,0,,0,0,0,0,0,0,1,2,2,3,3,4,5,5,8,11,14,16,17,21,23,24,24,26,29,33,35,36,60
"Lawrence",,,,,,,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,5,5,5,5
"Lebanon",,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,1,1,2,2,2,2,2,4,4
"Lehigh",0,0,,0,0,0,1,1,2,3,3,3,4,5,5,5,7,8,8,10,11,13,16,16,18,19,23,25,28,29,29,32
"Luzerne",0,0,,0,0,0,1,1,2,2,2,3,4,4,5,5,5,5,5,8,11,12,15,17,17,21,26,27,28,31,32,34
"Lycoming",,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Mckean",,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
"McKean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Mercer",,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1,1
"Mifflin",,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0
"Monroe",0,0,,0,1,1,2,2,2,2,3,7,7,8,10,10,11,11,11,12,17,19,19,22,23,24,27,28,29,29,34,38
"Montgomery",0,0,,0,1,1,2,2,3,5,5,5,6,8,9,11,17,18,18,30,37,37,50,60,63,65,76,82,89,97,106,164
"Montour",,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Northampton",1,1,1,1,2,2,3,3,3,4,4,5,5,5,9,10,11,11,12,14,17,20,21,23,23,23,25,25,25,27,29,36
"Northumberland",,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Perry",,,,,,,,,,0,0,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Philadelphia",0,0,,0,0,0,1,1,2,5,5,7,10,10,13,14,24,28,28,58,87,86,110,130,128,127,131,132,134,136,136,240
"Pike",0,0,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,5,6,6,6,6,6,6,6,7,7,8,8,8
"Potter",,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Schuylkill",,,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,1,2,2,2,2,3,4,4,5,5
"Snyder",,,,,,,,,,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Somerset",,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Sullivan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Susquehanna",,,,,,,0,0,0,0,0,,,,,,,,,,,1,2,2,1,1,1,1,1,1,1,3
"Tioga",,,,,,,,,,0,0,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
"Union",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
"Venango",,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0
"Warren",,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
"Washington",0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,1,1,1,2,2
"Wayne",0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,1,1,1,2,2,2,2,3
"Westmoreland",,0,,0,0,0,0,0,0,0,0,,,,,,,,,,1,1,5,6,6,6,6,11,13,13,13,16
"Wyoming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
"York",0,0,,0,0,0,,0,,0,,,,,,,1,1,1,2,2,3,3,3,3,3,3,4,4,4,4,6
"York ",,,,,,,0,,0,,0,,,,1,1,,,,,,,,,,,,,,,,
